id,country_id,year,GDP,GDP growth,GDP per capita,Agriculture,Industry,Services,Agriculture employment,Industry employment,Services employment,Unemployment rate,Labour participation (females),Labour participation (males),CPI,Agricultural index,Industrial index,Exports,Imports,Trade balance,Current account
1,1,2005,6622,9.9,264.0,35.2,26.0,38.8,71.8,6.6,21.7,8.5,16.1,87.1,71,107,,,,,
2,1,2010,16078,3.2,558.0,28.8,21.3,49.8,64.5,6.1,29.4,7.8,14.7,86.5,100,116,,388,5154,- 4 766,- 1 505
3,1,2018,20235,3.6,584.0,24.1,22.0,53.9,62.0,6.8,31.3,8.8,19.5,86.7,145,125,,700,7384,- 6 684,- 4 683
4,2,2005,8052,5.5,2615.0,21.5,28.7,49.8,54.0,19.9,26.2,17.5,48.1,67.9,87,98,100,658,2614,- 1 956,-571
5,2,2010,11927,3.7,4056.0,20.7,28.7,50.7,43.9,19.4,36.7,14.2,45.7,63.0,100,119,200,1550,4603,- 3 053,- 1 356
6,2,2018,11864,3.4,4054.0,22.7,23.7,53.6,38.9,18.7,42.4,15.1,47.0,64.7,115,143,355,2262,5826,- 3 565,-909
7,3,2005,103198,5.9,3100.0,8.0,59.7,32.3,20.0,29.8,50.2,15.3,12.8,71.8,82,99,100,46002,20357,25645,21180
8,3,2010,161207,3.6,4463.0,8.6,51.4,40.0,16.5,39.4,44.0,10.0,14.4,70.0,100,130,97,57051,41000,16051,12220
9,3,2018,159049,3.3,3917.0,12.7,36.1,51.1,12.8,46.5,40.7,9.9,15.3,67.2,142,151,104,35191,46053,- 10 862,- 26 179
10,4,2005,,,,,,,3.1,41.7,51.9,5.1,41.2,58.8,,100,,,,,
11,4,2010,,,,,,,3.0,23.2,73.8,9.2,,,,110,,,,,
12,4,2018,,,,,,,,,,,,,,116,,,,,
13,5,2005,3256,7.4,41281.0,0.4,17.3,82.3,,,,,,,90,,,143,1796,- 1 653,
14,5,2010,3355,-5.4,39734.0,0.5,14.6,84.8,,,,,,,100,,,92,1541,- 1 448,
15,5,2018,2858,1.2,36987.0,0.6,11.1,88.4,,,,,,,105,,,120,1480,- 1 360,
16,6,2005,36971,15.0,1891.0,5.0,59.7,35.3,37.5,8.8,53.7,21.4,74.9,80.6,54,102,,23835,8321,15514,5138
17,6,2010,83799,4.7,3586.0,6.1,51.2,42.7,47.2,8.8,44.0,9.9,75.3,80.5,100,167,,52612,18143,34469,7506
18,6,2018,106918,-0.7,3711.0,8.0,46.0,46.0,50.4,8.7,40.9,8.5,75.3,80.0,281,192,,13311,3845,9466,- 3 071
19,7,2005,229,13.1,18129.0,2.7,19.3,78.0,2.9,18.9,76.7,7.8,67.2,77.2,82,,,7,133,-126,-52
20,7,2010,268,-4.5,19459.0,2.0,15.8,82.2,,,,,,,100,,,12,150,-137,-51
21,7,2018,338,1.1,22861.0,2.8,14.3,82.9,,,,,,,105,,,3,194,-191,-99
22,8,2005,1015,6.4,11372.0,2.0,16.3,81.7,2.8,15.6,81.6,8.4,65.9,78.4,89,95,,121,525,-405,-171
23,8,2010,1148,-7.2,12127.0,1.8,18.2,80.0,2.8,15.6,81.6,,,,100,73,,35,501,-466,-167
24,8,2018,1460,5.3,14462.0,1.9,19.8,78.3,,,,,,,112,70,,62,630,-567,2
25,9,2005,200622,8.9,5125.0,9.3,33.7,57.0,1.3,23.3,75.5,11.5,49.4,75.6,,105,,40106,28689,11418,5274
26,9,2010,426487,10.1,10346.0,8.5,30.1,61.4,1.3,23.3,75.4,7.4,46.4,74.0,,112,,68174,56792,11382,- 1 623
27,9,2018,545866,-2.3,12449.0,7.6,26.7,65.8,0.5,23.2,76.3,8.4,47.2,73.1,113,131,,58384,66899,- 8 515,- 30 792
28,10,2005,5226,13.9,1753.0,19.9,43.8,36.3,40.6,17.7,41.7,8.2,47.5,65.9,76,108,100,937,1692,-755,-124
29,10,2010,9875,2.2,3432.0,17.8,34.7,47.4,38.6,17.4,44.0,19.0,49.6,71.6,100,96,105,1011,3782,- 2 770,- 1 261
30,10,2018,10572,0.2,3615.0,17.4,26.9,55.7,33.2,16.3,50.4,18.0,51.6,70.8,124,127,,2041,4077,- 2 035,-400
31,11,2005,2331,1.2,23303.0,0.4,19.6,80.0,0.5,16.4,82.3,6.9,,,84,,,106,1030,-924,105
32,11,2010,2391,-3.4,23513.0,0.5,15.4,84.2,0.6,14.5,84.4,10.6,59.5,68.9,100,,,125,1071,-947,-460
33,11,2018,2667,-0.2,25444.0,0.5,15.4,84.2,0.6,14.0,85.1,,58.8,69.6,102,,,95,1152,- 1 057,141
