id,country_id,year,Population growth,Urban population,Urban population growth,Fertility rate,Life expectancy (females),Life expectancy (males),Population distribution (children),Population distribution (elders),Migrant,Migrant ratio,Refugees,Infant mortality,Health expenditure,Physicians ratio,Education expenditure,Primary enroll ratio (females),Primary enroll ratio (males),Secondary enroll ratio (females),Secondary enroll ratio (males),Tertiary enroll ratio (females),Tertiary enroll ratio (males),Homicide rate,Women in parliaments
1,1,2005,4.4,22.7,5.0,7.2,58.1,55.8,47.6,3.6,87.3,0.3,159.6,89.4,9.9,0.2,,74.5,126.9,9.3,28.6,0.5,1.9,,
2,1,2010,2.8,23.7,3.7,6.4,61.3,58.9,47.8,3.9,102.2,0.4,1200.0,76.7,8.6,0.2,3.5,82.7,120.6,34.3,68.6,1.4,6.1,3.4,27.3
3,1,2018,3.2,25.5,4.0,5.3,63.5,61.0,42.6,4.2,133.6,0.4,2189.2,68.6,10.3,0.3,3.2,84.3,124.0,39.7,69.6,3.6,13.0,6.3,27.7
4,2,2005,-0.3,46.7,2.0,1.9,77.8,72.2,26.5,12.3,64.7,2.1,0.1,21.1,6.3,,3.2,100.6,101.6,76.4,80.2,27.2,19.1,5.0,6.4
5,2,2010,-0.9,52.2,1.3,1.6,78.5,73.2,22.5,15.0,52.8,1.8,0.1,16.8,5.0,1.3,3.3,93.0,94.6,88.1,89.1,51.6,38.6,4.3,16.4
6,2,2018,-0.1,60.3,1.8,1.7,79.9,75.6,17.1,19.7,52.5,1.8,7.7,14.6,6.8,1.3,3.5,108.3,111.1,91.5,98.3,76.1,48.2,2.7,27.9
7,3,2005,1.3,63.8,2.6,2.4,72.9,70.1,29.1,7.0,197.4,0.6,94.4,37.3,3.2,1.0,,103.4,111.8,82.4,75.2,23.3,18.2,0.6,6.2
8,3,2010,1.6,67.5,2.8,2.7,75.2,72.6,27.2,7.8,217.0,0.6,94.4,32.6,5.1,1.2,4.3,111.4,118.9,98.7,95.3,35.3,24.4,0.7,7.7
9,3,2018,2.0,72.6,2.9,3.0,76.5,74.1,29.5,9.6,248.6,0.6,100.2,27.7,7.1,,,110.6,116.6,101.5,97.8,53.6,32.1,1.4,25.8
10,4,2005,0.5,88.1,0.4,,,,38.8,5.4,24.2,41.0,,,,,,,,,,,,10.1,
11,4,2010,-1.2,87.6,-1.3,,76.2,68.5,35.0,6.7,23.6,42.3,,,,,,,,,,,,9.0,
12,4,2018,0.0,87.2,-0.1,2.6,77.8,71.1,33.3,9.0,23.6,42.3,,9.6,,,,,,,,,,5.4,
13,5,2005,3.7,90.3,3.3,1.2,,,15.1,16.1,50.3,63.8,,,9.8,3.3,1.6,,,,,,,1.3,14.3
14,5,2010,1.4,88.8,1.0,1.2,,,14.0,18.6,52.1,61.6,,,11.6,,3.1,,,,,,,1.2,35.7
15,5,2018,-1.6,88.1,-1.7,1.2,,,14.4,19.0,41.0,53.3,,,12.0,3.7,3.3,,,,,,,1.2,32.1
16,6,2005,3.5,56.0,5.7,6.6,52.5,47.5,47.2,3.7,61.3,0.3,14.9,108.3,4.0,0.1,2.8,,,13.6,16.7,0.6,0.9,,15.0
17,6,2010,3.6,59.8,4.9,6.4,58.2,53.0,47.3,3.6,76.5,0.3,19.4,83.8,2.7,0.1,3.5,92.8,117.6,21.2,31.9,,,,38.6
18,6,2018,3.5,65.5,4.7,6.0,63.0,57.4,46.6,4.1,638.5,2.1,78.4,65.4,2.9,,,91.2,146.7,20.7,32.9,7.4,9.6,4.8,30.5
19,7,2005,2.6,100.0,2.6,1.8,81.1,76.5,27.7,10.2,4.7,37.1,,,,,,,,,,,,8.1,
20,7,2010,1.7,100.0,1.7,2.0,,,,,5.1,37.1,,,,,2.8,,,,,,,7.4,
21,7,2018,1.2,100.0,1.2,,,,23.3,7.6,5.6,37.4,0.0,,,,,,,,,,,27.7,
22,8,2005,1.3,29.2,-0.6,2.3,76.4,71.5,28.4,9.3,24.7,27.7,,12.2,4.4,,3.4,,,65.7,72.6,,,3.4,10.5
23,8,2010,1.2,26.2,-1.0,2.2,77.4,72.6,26.6,8.9,26.4,27.9,,10.0,5.5,,2.5,89.9,98.1,100.0,98.8,20.9,8.3,6.3,10.5
24,8,2018,1.1,24.6,0.1,2.1,78.2,73.3,23.6,11.3,28.6,28.1,0.0,9.1,4.8,,,85.1,90.2,94.6,92.7,29.2,14.1,10.3,11.1
25,9,2005,1.1,90.0,1.3,2.5,78.1,70.6,26.9,13.8,1673.1,4.3,3.9,15.0,6.4,3.2,3.9,116.6,117.7,98.4,89.8,75.8,52.1,,33.7
26,9,2010,1.0,90.8,1.2,2.4,79.0,71.3,25.9,14.4,1806.0,4.4,4.2,14.6,6.8,,5.0,115.9,117.5,106.6,97.1,89.2,59.1,,38.5
27,9,2018,1.0,91.9,1.2,2.3,79.8,72.2,24.7,15.6,2164.5,4.9,7.7,13.7,6.8,3.9,5.9,109.7,110.1,110.2,104.0,106.8,65.3,5.9,38.9
28,10,2005,-0.6,63.9,-0.8,1.6,75.3,69.1,21.5,14.4,469.1,15.7,219.6,27.0,7.0,,2.7,96.3,94.6,96.5,87.8,46.0,32.8,1.9,5.3
29,10,2010,-0.7,63.4,-0.9,1.7,75.8,69.4,19.5,14.8,221.6,7.7,85.8,21.0,5.3,2.8,3.2,112.8,109.2,99.0,101.2,58.0,47.6,1.9,9.2
30,10,2018,0.3,63.1,0.2,1.6,77.0,70.6,20.1,17.5,190.7,6.5,18.6,13.2,10.1,2.8,2.8,94.8,94.0,88.4,84.0,57.1,45.0,3.0,18.1
31,11,2005,1.9,44.9,1.1,1.8,76.4,71.5,21.5,12.6,32.5,32.5,,17.8,,,4.7,107.8,114.9,96.1,95.8,37.3,25.9,6.0,
32,11,2010,0.3,43.1,-0.5,1.8,77.1,72.2,20.9,15.5,34.3,33.8,0.0,16.2,,,6.7,113.0,114.5,98.3,93.5,43.9,31.1,3.9,
33,11,2018,0.5,43.4,0.5,1.8,77.8,72.9,17.7,20.4,36.4,34.5,0.0,14.8,,,6.5,115.2,118.9,112.1,110.2,21.4,9.4,1.9,
34,12,2005,1.2,84.6,1.3,1.8,82.8,77.8,19.8,17.4,4878.0,24.1,66.8,4.9,8.0,2.5,4.9,103.3,101.8,,,,,1.3,24.7
35,12,2010,1.8,85.2,1.9,2.0,83.8,79.2,19.0,18.9,5883.0,26.6,25.6,4.4,8.5,2.9,5.6,105.8,106.0,,,,,1.0,27.3
36,12,2018,1.5,86.0,1.6,1.9,84.4,80.2,19.1,21.2,7035.6,28.8,82.4,3.9,9.4,3.5,5.2,101.3,101.4,142.7,164.5,144.1,100.8,0.9,28.7
37,13,2005,0.5,58.8,0.0,1.4,81.7,75.9,16.0,22.1,1136.3,13.8,62.8,4.5,9.6,,5.2,100.8,100.9,97.8,102.8,,,0.7,33.9
38,13,2010,0.4,57.4,-0.1,1.4,82.8,77.3,14.7,23.3,1276.0,15.2,68.7,3.8,10.1,4.8,5.7,99.1,100.5,96.8,100.8,,,0.7,27.9
39,13,2018,0.6,58.3,0.7,1.4,83.5,78.4,14.1,25.5,1660.3,19.0,170.9,3.3,10.3,5.2,5.4,102.0,102.5,98.9,102.9,90.8,76.4,0.7,34.4
40,14,2005,1.0,52.4,1.4,1.9,70.3,64.6,26.2,8.5,302.2,3.5,584.3,54.2,7.4,,3.0,92.8,98.2,,,,,2.2,10.5
41,14,2010,1.1,53.4,1.5,1.8,73.4,66.9,22.8,8.1,276.9,3.1,596.9,40.7,4.9,3.6,2.8,93.2,94.2,,,19.2,19.4,2.3,11.4
42,14,2018,1.3,55.7,1.7,2.1,74.6,68.6,23.3,10.6,259.2,2.6,618.3,31.4,6.7,3.4,3.0,105.9,106.9,,,29.7,25.0,2.1,16.8
43,15,2005,2.0,82.2,2.1,1.9,76.2,70.0,25.6,9.4,45.6,13.8,,11.6,5.9,,2.8,108.4,109.9,89.1,89.4,,,15.8,20.0
